playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
cabreas01,2011,1,CLE,AL,151,604,87,165,32,3,25,92,17,5,44,119,5,11,4,4,10
cabreev01,2011,1,SDN,NL,2,8,1,1,0,0,0,0,2,0,1,3,0,0,0,0,0
cabreme01,2011,1,KCA,AL,155,658,102,201,44,5,18,87,20,10,35,94,3,1,7,5,12
cabremi01,2011,1,DET,AL,161,572,111,197,48,0,30,105,2,1,108,89,22,3,0,5,24
cabreor01,2011,1,CLE,AL,91,324,35,79,13,0,4,38,6,2,13,40,0,3,1,3,10
cabreor01,2011,2,SFN,NL,39,126,4,28,3,0,1,13,2,2,4,17,0,0,0,3,2
cahiltr01,2011,1,OAK,AL,34,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
cainlo01,2011,1,KCA,AL,6,22,4,6,1,0,0,1,0,0,1,4,0,0,0,0,0
cainma01,2011,1,SFN,NL,35,66,5,9,1,0,1,6,0,0,3,30,0,0,8,1,0
cairomi01,2011,1,CIN,NL,102,245,33,65,8,2,8,33,3,4,18,36,1,7,3,3,3
callaal01,2011,1,LAA,AL,141,475,54,137,23,0,6,46,8,1,58,48,8,1,0,2,11
camermi01,2011,1,BOS,AL,33,94,9,14,2,0,3,9,0,0,8,25,0,0,1,2,3
camermi01,2011,2,FLO,NL,45,143,18,34,8,0,6,18,1,0,20,34,0,0,1,0,3
campato01,2011,1,CHN,NL,95,143,24,37,3,0,1,6,24,2,8,30,1,1,3,0,1
campsh01,2011,1,TOR,AL,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cancero01,2011,1,HOU,NL,2,6,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0
canoro01,2011,1,NYA,AL,159,623,104,188,46,7,28,118,8,2,38,96,11,12,0,8,18
cantujo01,2011,1,SDN,NL,57,144,8,28,4,0,3,16,0,0,7,28,1,1,0,3,6
canzlru01,2011,1,TBA,AL,3,3,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
cappsma01,2011,1,MIN,AL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capuach01,2011,1,NYN,NL,36,56,2,4,2,0,0,0,0,0,0,33,0,0,6,0,1
carigan01,2011,1,OAK,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carlybu01,2011,1,NYA,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carmofa01,2011,1,CLE,AL,32,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
carpean01,2011,1,PHI,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carpean01,2011,2,SDN,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carpech01,2011,1,SLN,NL,34,71,2,11,3,0,0,5,0,0,2,25,0,0,9,0,0
carpech02,2011,1,CHN,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carpeda01,2011,1,HOU,NL,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carpema01,2011,1,SLN,NL,7,15,0,1,1,0,0,0,0,0,4,4,0,0,0,0,0
carpmi01,2011,1,SEA,AL,79,290,27,80,17,1,12,46,0,2,19,81,0,3,0,1,10
carraca01,2011,1,CLE,AL,21,5,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
carradj01,2011,1,NYN,NL,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
carreez01,2011,1,CLE,AL,68,202,27,49,8,3,0,14,10,5,16,35,0,1,7,0,4
carrejo01,2011,1,TOR,AL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrobr01,2011,1,MIL,NL,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
carroja01,2011,1,LAN,NL,146,452,52,131,14,6,0,17,10,0,47,58,3,2,8,1,3
cartech02,2011,1,OAK,AL,15,44,2,6,0,0,0,0,0,0,2,20,0,0,0,0,1
cashnan01,2011,1,CHN,NL,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
casilal01,2011,1,MIN,AL,97,323,52,84,21,4,2,21,15,4,28,45,0,3,8,3,4
cassebo01,2011,1,LAA,AL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castial02,2011,1,ARI,NL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castiwe01,2011,1,CHN,NL,4,13,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1
castrju01,2011,1,LAN,NL,7,14,2,4,0,0,0,1,0,0,1,4,0,0,0,0,0
castrra01,2011,1,CHA,AL,23,68,6,16,3,0,4,10,0,0,7,23,0,0,0,0,0
castrst01,2011,1,CHN,NL,158,674,91,207,36,9,10,66,22,9,35,96,2,2,0,4,20
cecilbr01,2011,1,TOR,AL,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cedajo01,2011,1,FLO,NL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cedenro02,2011,1,PIT,NL,128,413,43,103,25,3,2,32,2,5,30,93,7,0,6,5,11
cedenxa01,2011,1,HOU,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cervefr01,2011,1,NYA,AL,43,124,17,33,4,0,4,22,4,1,9,29,0,2,1,1,4
chacijh01,2011,1,COL,NL,33,61,3,10,1,0,0,4,0,0,1,12,0,1,5,0,0
chambad01,2011,1,SLN,NL,18,8,2,3,0,1,0,4,0,0,0,1,0,0,0,0,0
chambjo03,2011,1,NYA,AL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapmar01,2011,1,CIN,NL,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chatwty01,2011,1,LAA,AL,27,3,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0
chaveen01,2011,1,TEX,AL,83,256,37,77,11,3,5,27,10,5,10,30,0,0,5,3,7
chaveer01,2011,1,NYA,AL,58,160,16,42,7,1,2,26,0,0,14,34,3,0,0,1,4
chaveje01,2011,1,KCA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chenbr01,2011,1,KCA,AL,25,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
chiriro01,2011,1,TBA,AL,20,55,4,12,2,0,1,7,0,0,5,13,0,0,0,0,0
